Week,public_road_mileage
2008-03-24,4050809.8076923075
2008-03-31,4051018.153846154
2008-04-07,4051226.5
2008-04-14,4051434.846153846
2008-04-21,4051643.1923076925
2008-04-28,4051851.5384615385
2008-05-05,4052059.8846153845
2008-05-12,4052268.230769231
2008-05-19,4052476.576923077
2008-05-26,4052684.923076923
2008-06-02,4052893.269230769
2008-06-09,4053101.6153846155
2008-06-16,4053309.9615384615
2008-06-23,4053518.3076923075
2008-06-30,4053726.653846154
2008-07-07,4053935.0
2008-07-14,4054143.346153846
2008-07-21,4054351.6923076925
2008-07-28,4054560.0384615385
2008-08-04,4054768.3846153845
2008-08-11,4054976.730769231
2008-08-18,4055185.076923077
2008-08-25,4055393.423076923
2008-09-01,4055601.769230769
2008-09-08,4055810.1153846155
2008-09-15,4056018.4615384615
2008-09-22,4056226.8076923075
2008-09-29,4056435.153846154
2008-10-06,4056643.5
2008-10-13,4056851.846153846
2008-10-20,4057060.1923076925
2008-10-27,4057268.5384615385
2008-11-03,4057476.8846153845
2008-11-10,4057685.230769231
2008-11-17,4057893.576923077
2008-11-24,4058101.923076923
2008-12-01,4058310.269230769
2008-12-08,4058518.6153846155
2008-12-15,4058726.9615384615
2008-12-22,4058935.3076923075
2008-12-29,4059143.653846154
2009-01-06,4059352.0
2009-01-13,4059506.6923076925
2009-01-20,4059661.3846153845
2009-01-27,4059816.076923077
2009-02-03,4059970.769230769
2009-02-10,4060125.4615384615
2009-02-17,4060280.153846154
2009-02-24,4060434.846153846
2009-03-03,4060589.5384615385
2009-03-10,4060744.230769231
2009-03-17,4060898.923076923
2009-03-24,4061053.6153846155
2009-03-31,4061208.3076923075
2009-04-07,4061363.0
2009-04-14,4061517.6923076925
2009-04-21,4061672.3846153845
2009-04-28,4061827.076923077
2009-05-05,4061981.769230769
2009-05-12,4062136.4615384615
2009-05-19,4062291.153846154
2009-05-26,4062445.846153846
2009-06-02,4062600.5384615385
2009-06-09,4062755.230769231
2009-06-16,4062909.923076923
2009-06-23,4063064.6153846155
2009-06-30,4063219.3076923075
2009-07-07,4063374.0
2009-07-14,4063528.6923076925
2009-07-21,4063683.3846153845
2009-07-28,4063838.076923077
2009-08-04,4063992.769230769
2009-08-11,4064147.4615384615
2009-08-18,4064302.153846154
2009-08-25,4064456.846153846
2009-09-01,4064611.5384615385
2009-09-08,4064766.230769231
2009-09-15,4064920.923076923
2009-09-22,4065075.6153846155
2009-09-29,4065230.3076923075
2009-10-06,4065385.0
2009-10-13,4065539.6923076925
2009-10-20,4065694.3846153845
2009-10-27,4065849.076923077
2009-11-03,4066003.769230769
2009-11-10,4066158.4615384615
2009-11-17,4066313.153846154
2009-11-24,4066467.846153846
2009-12-01,4066622.5384615385
2009-12-08,4066777.230769231
2009-12-15,4066931.923076923
2009-12-22,4067086.6153846155
2009-12-29,4067241.3076923075
2010-01-04,4067396.0
2010-01-11,4067710.846153846
2010-01-18,4068025.6923076925
2010-01-25,4068340.5384615385
2010-02-01,4068655.3846153845
2010-02-08,4068970.230769231
2010-02-15,4069285.076923077
2010-02-22,4069599.923076923
2010-03-01,4069914.769230769
2010-03-08,4070229.6153846155
2010-03-15,4070544.4615384615
2010-03-22,4070859.3076923075
2010-03-29,4071174.153846154
2010-04-05,4071489.0
2010-04-12,4071803.846153846
2010-04-19,4072118.6923076925
