Week,urban_pop
1999-03-22,216949771.8653846
1999-03-29,217017379.30769232
1999-04-05,217084986.75
1999-04-12,217152594.19230768
1999-04-19,217220201.6346154
1999-04-26,217287809.07692307
1999-05-03,217355416.51923078
1999-05-10,217423023.96153846
1999-05-17,217490631.40384614
1999-05-24,217558238.84615386
1999-05-31,217625846.28846154
1999-06-07,217693453.73076922
1999-06-14,217761061.17307693
1999-06-21,217828668.6153846
1999-06-28,217896276.05769232
1999-07-05,217963883.5
1999-07-12,218031490.94230768
1999-07-19,218099098.3846154
1999-07-26,218166705.82692307
1999-08-02,218234313.26923078
1999-08-09,218301920.71153846
1999-08-16,218369528.15384614
1999-08-23,218437135.59615386
1999-08-30,218504743.03846154
1999-09-06,218572350.48076922
1999-09-13,218639957.92307693
1999-09-20,218707565.3653846
1999-09-27,218775172.80769232
1999-10-04,218842780.25
1999-10-11,218910387.69230768
1999-10-18,218977995.1346154
1999-10-25,219045602.57692307
1999-11-01,219113210.01923078
1999-11-08,219180817.46153846
1999-11-15,219248424.90384614
1999-11-22,219316032.34615386
1999-11-29,219383639.78846154
1999-12-06,219451247.23076922
1999-12-13,219518854.67307693
1999-12-20,219586462.1153846
1999-12-27,219654069.55769232
2000-01-03,219721677.0
2000-01-10,219786051.23076922
2000-01-17,219850425.46153846
2000-01-24,219914799.69230768
2000-01-31,219979173.92307693
2000-02-07,220043548.15384614
2000-02-14,220107922.3846154
2000-02-21,220172296.6153846
2000-02-28,220236670.84615386
2000-03-06,220301045.07692307
2000-03-13,220365419.30769232
2000-03-20,220429793.53846154
2000-03-27,220494167.76923078
2000-04-03,220558542.0
2000-04-10,220622916.23076922
2000-04-17,220687290.46153846
2000-04-24,220751664.69230768
2000-05-01,220816038.92307693
2000-05-08,220880413.15384614
2000-05-15,220944787.3846154
2000-05-22,221009161.6153846
2000-05-29,221073535.84615386
2000-06-05,221137910.07692307
2000-06-12,221202284.30769232
2000-06-19,221266658.53846154
2000-06-26,221331032.76923078
2000-07-03,221395407.0
2000-07-10,221459781.23076922
2000-07-17,221524155.46153846
2000-07-24,221588529.69230768
2000-07-31,221652903.92307693
2000-08-07,221717278.15384614
2000-08-14,221781652.3846154
2000-08-21,221846026.6153846
2000-08-28,221910400.84615386
2000-09-04,221974775.07692307
2000-09-11,222039149.30769232
2000-09-18,222103523.53846154
2000-09-25,222167897.76923078
2000-10-02,222232272.0
2000-10-09,222296646.23076922
2000-10-16,222361020.46153846
2000-10-23,222425394.69230768
2000-10-30,222489768.92307693
2000-11-06,222554143.15384614
2000-11-13,222618517.3846154
2000-11-20,222682891.6153846
2000-11-27,222747265.84615386
2000-12-04,222811640.07692307
2000-12-11,222876014.30769232
2000-12-18,222940388.53846154
2000-12-25,223004762.76923078
2001-01-02,223069137.0
2001-01-09,223120517.4716981
2001-01-16,223171897.94339624
2001-01-23,223223278.41509435
2001-01-30,223274658.88679245
2001-02-06,223326039.35849056
